Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,Baishi,Beijing,Beijing,China,39.954731,116.445779
2,2,Baishi,Beijing,Beijing,China,39.842519,116.475255
2,3,Baishi,Beijing,Beijing,China,39.852564,116.388531
2,4,Baishi,Beijing,Beijing,China,40.075188,116.34957
2,5,Baishi,Beijing,Beijing,China,39.816604,116.354701
2,6,Baishi,Beijing,Beijing,China,39.88113,116.228151
2,7,Baishi,Beijing,Beijing,China,39.576508,115.717659
2,8,Baishi,Beijing,Beijing,China,40.046965,116.717131
2,9,Baishi,Beijing,Beijing,China,40.230171,116.234393
2,10,Baishi,Beijing,Beijing,China,40.093511,116.927721
2,11,Baishi,Beijing,Beijing,China,39.885644,116.593228
2,12,Baishi,Beijing,Beijing,China,39.933209,116.43384
2,13,Baishi,Beijing,Beijing,China,40.177745,117.231016
2,14,Baishi,Beijing,Beijing,China,40.18964,116.254253
2,15,Baishi,Beijing,Beijing,China,40.104629,116.225835
2,16,Baishi,Beijing,Beijing,China,40.136411,116.626976
2,17,Baishi,Beijing,Beijing,China,40.364723,116.670518
2,18,Baishi,Beijing,Beijing,China,39.967403,116.511452
2,19,Baishi,Beijing,Beijing,China,39.985333,116.641668
2,20,Baishi,Beijing,Beijing,China,40.113126,116.560767
2,21,Baishi,Beijing,Beijing,China,40.137564,116.6408
2,22,Baishi,Beijing,Beijing,China,40.079736,116.367034
2,23,Baishi,Beijing,Beijing,China,39.950125,116.37732
2,24,Baishi,Beijing,Beijing,China,40.230233,116.421128
2,25,Baishi,Beijing,Beijing,China,39.84498,116.494432
2,26,Baishi,Beijing,Beijing,China,39.990156,116.578167
2,27,Baishi,Beijing,Beijing,China,40.176604,116.505239
2,28,Baishi,Beijing,Beijing,China,39.982643,116.639181
2,29,Baishi,Beijing,Beijing,China,40.00492,116.435722
2,30,Baishi,Beijing,Beijing,China,39.912552,116.491816
2,31,Baishi,Beijing,Beijing,China,40.088531,116.447572
2,32,Baishi,Beijing,Beijing,China,40.060261,116.243518
2,33,Baishi,Beijing,Beijing,China,40.245549,116.139539
2,34,Baishi,Beijing,Beijing,China,40.044942,116.517657
2,35,Baishi,Beijing,Beijing,China,39.819434,116.3571
