Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,Cainiao,Beijing,Beijing,China,40.143401,117.029424
2,2,Cainiao,Beijing,Beijing,China,40.156397,116.28761
2,3,Cainiao,Beijing,Beijing,China,40.040778,116.322982
2,4,Cainiao,Beijing,Beijing,China,39.878802,116.696854
2,5,Cainiao,Beijing,Beijing,China,39.742225,116.326133
2,6,Cainiao,Beijing,Beijing,China,39.857209,116.381559
2,7,Cainiao,Beijing,Beijing,China,40.395628,116.867395
2,8,Cainiao,Beijing,Beijing,China,40.384148,116.836464
2,9,Cainiao,Beijing,Beijing,China,40.071402,116.871194
2,10,Cainiao,Beijing,Beijing,China,40.140218,116.65495
2,11,Cainiao,Beijing,Beijing,China,40.122767,116.373282
2,12,Cainiao,Beijing,Beijing,China,40.092935,116.381618
2,13,Cainiao,Beijing,Beijing,China,40.229388,116.246651
2,14,Cainiao,Beijing,Beijing,China,40.232104,116.241203
2,15,Cainiao,Beijing,Beijing,China,40.216036,116.255696
2,16,Cainiao,Beijing,Beijing,China,40.226645,116.261829
2,17,Cainiao,Beijing,Beijing,China,40.211614,116.218943
2,18,Cainiao,Beijing,Beijing,China,40.23628,116.230445
2,19,Cainiao,Beijing,Beijing,China,40.091824,116.349302
2,20,Cainiao,Beijing,Beijing,China,40.091999,116.322921
2,21,Cainiao,Beijing,Beijing,China,40.131881,116.221977
2,22,Cainiao,Beijing,Beijing,China,40.24351,116.137794
2,23,Cainiao,Beijing,Beijing,China,40.038714,116.674644
2,24,Cainiao,Beijing,Beijing,China,39.949739,116.660046
2,25,Cainiao,Beijing,Beijing,China,39.914517,116.698707
2,26,Cainiao,Beijing,Beijing,China,39.932463,116.620999
2,27,Cainiao,Beijing,Beijing,China,40.052089,116.414599
2,28,Cainiao,Beijing,Beijing,China,40.039857,116.377542
2,29,Cainiao,Beijing,Beijing,China,40.033626,116.4423
2,30,Cainiao,Beijing,Beijing,China,40.022389,116.375545
2,31,Cainiao,Beijing,Beijing,China,39.985971,116.475624
2,32,Cainiao,Beijing,Beijing,China,39.925457,116.509585
