Type,Number,Company,Location,City,Province,Country,Latitude,Longitude
2,1,Cainiao,马昌营镇华夏大学对面,Beijing,Beijing,China,40.143401,117.029424
2,2,Cainiao,沙河镇兆丰家园6号楼6-7号底商,Beijing,Beijing,China,40.156397,116.28761
2,3,Cainiao,清河街道小营西路33号金山软件大厦1F员工服务中心后区,Beijing,Beijing,China,40.040778,116.322982
2,4,Cainiao,北京市通州区玉桥街道临河里方恒东景小区108号楼1单元103,Beijing,Beijing,China,39.878802,116.696854
2,5,Cainiao,黄村镇三合北巷7号院3号楼2单元1701,Beijing,Beijing,China,39.742225,116.326133
2,6,Cainiao,马家堡街道马家堡西里54号楼6门101室小卖部,Beijing,Beijing,China,39.857209,116.381559
2,7,Cainiao,檀营镇新北路檀营小区5号楼菜鸟驿站,Beijing,Beijing,China,40.395628,116.867395
2,8,Cainiao,北京市密云区果园街道季庄小区46号楼菜鸟驿站,Beijing,Beijing,China,40.384148,116.836464
2,9,Cainiao,北务镇郭家务村国林超市,Beijing,Beijing,China,40.071402,116.871194
2,10,Cainiao,义宾北区12号楼,Beijing,Beijing,China,40.140218,116.65495
2,11,Cainiao,北七家镇宏福苑北区3B楼三单元106,Beijing,Beijing,China,40.122767,116.373282
2,12,Cainiao,霍营街道龙锦苑东五区17号楼7单元602北门菜鸟驿站,Beijing,Beijing,China,40.092935,116.381618
2,13,Cainiao,东环路燕平家园34号楼,Beijing,Beijing,China,40.229388,116.246651
2,14,Cainiao,北京市昌平区城北街道三街财神庙胡同安福苑30号楼,Beijing,Beijing,China,40.232104,116.241203
2,15,Cainiao,昌盛路京科苑小区62号楼菜鸟驿站,Beijing,Beijing,China,40.216036,116.255696
2,16,Cainiao,城北街道亢山佳园小区5号楼菜鸟驿站,Beijing,Beijing,China,40.226645,116.261829
2,17,Cainiao,北京市昌平区马池口镇百泉庄百泉花园13号楼楼下菜鸟驿站,Beijing,Beijing,China,40.211614,116.218943
2,18,Cainiao,西环里47号楼菜鸟驿站,Beijing,Beijing,China,40.23628,116.230445
2,19,Cainiao,回龙观回龙观镇龙禧二街龙禧苑二区1号楼8号底商中商惠民君悦超市菜鸟驿站,Beijing,Beijing,China,40.091824,116.349302
2,20,Cainiao,北京市昌平区龙泽园街道回龙观天露园一区4号楼,Beijing,Beijing,China,40.091999,116.322921
2,21,Cainiao,北京市海淀区上庄镇上庄路与沙阳路馨瑞嘉园一号楼,Beijing,Beijing,China,40.131881,116.221977
2,22,Cainiao,南口镇兴隆街丰景高苑1号楼,Beijing,Beijing,China,40.24351,116.137794
2,23,Cainiao,北京市顺义区李桥镇馨港庄园二区20号楼菜鸟驿站,Beijing,Beijing,China,40.038714,116.674644
2,24,Cainiao,北京市通州区永顺镇北马庄翠福园小区19号楼,Beijing,Beijing,China,39.949739,116.660046
2,25,Cainiao,中仓街道中仓街道bobo自由城65号楼或者74号楼菜鸟驿站,Beijing,Beijing,China,39.914517,116.698707
