Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,EMS,Beijing,Beijing,China,39.799431,116.199653
2,2,EMS,Beijing,Beijing,China,39.977291,116.265932
2,3,EMS,Beijing,Beijing,China,40.05463,116.258449
2,4,EMS,Beijing,Beijing,China,39.921543,116.302719
2,5,EMS,Beijing,Beijing,China,39.971625,116.311315
2,6,EMS,Beijing,Beijing,China,39.946764,116.318733
2,7,EMS,Beijing,Beijing,China,39.959007,116.341636
2,8,EMS,Beijing,Beijing,China,39.984054,116.342733
2,9,EMS,Beijing,Beijing,China,39.970387,116.347174
2,10,EMS,Beijing,Beijing,China,39.983321,116.349024
2,11,EMS,Beijing,Beijing,China,39.915215,116.350808
2,12,EMS,Beijing,Beijing,China,40.051323,116.341377
2,13,EMS,Beijing,Beijing,China,39.90872,116.362607
2,14,EMS,Beijing,Beijing,China,40.01024,116.375034
2,15,EMS,Beijing,Beijing,China,40.226175,116.234438
2,16,EMS,Beijing,Beijing,China,39.771703,116.340605
2,17,EMS,Beijing,Beijing,China,39.907837,116.412845
2,18,EMS,Beijing,Beijing,China,39.965797,116.424009
2,19,EMS,Beijing,Beijing,China,39.851648,116.41583
2,20,EMS,Beijing,Beijing,China,39.984519,116.343179
2,21,EMS,Beijing,Beijing,China,39.910271,116.388587
2,22,EMS,Beijing,Beijing,China,39.939342,116.417691
2,23,EMS,Beijing,Beijing,China,39.910723,116.335836
2,24,EMS,Beijing,Beijing,China,40.01012,116.375504
2,25,EMS,Beijing,Beijing,China,39.98392,116.316054
2,26,EMS,Beijing,Beijing,China,39.946204,116.320643
2,27,EMS,Beijing,Beijing,China,39.987873,116.312829
2,28,EMS,Beijing,Beijing,China,39.977453,116.266092
2,29,EMS,Beijing,Beijing,China,39.995031,116.372425
2,30,EMS,Beijing,Beijing,China,39.952308,116.299223
2,31,EMS,Beijing,Beijing,China,39.856328,116.298071
2,32,EMS,Beijing,Beijing,China,39.770223,117.00639
2,33,EMS,Beijing,Beijing,China,39.54546,116.735407
2,34,EMS,Beijing,Beijing,China,39.519016,116.73738
