Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,Shunfeng,Beijing,Beijing,China,40.088065,116.320135
2,2,Shunfeng,Beijing,Beijing,China,39.961918,116.456317
2,3,Shunfeng,Beijing,Beijing,China,39.909224,116.666368
2,4,Shunfeng,Beijing,Beijing,China,39.924852,116.434084
2,5,Shunfeng,Beijing,Beijing,China,39.889209,116.331646
2,6,Shunfeng,Beijing,Beijing,China,40.201149,116.41374
2,7,Shunfeng,Beijing,Beijing,China,39.919807,116.709811
2,8,Shunfeng,Beijing,Beijing,China,39.915216,116.650684
2,9,Shunfeng,Beijing,Beijing,China,39.993402,116.464108
2,10,Shunfeng,Beijing,Beijing,China,40.046391,116.42105
2,11,Shunfeng,Beijing,Beijing,China,39.961833,116.469299
2,12,Shunfeng,Beijing,Beijing,China,39.953812,116.474867
2,13,Shunfeng,Beijing,Beijing,China,39.928215,116.455093
2,14,Shunfeng,Beijing,Beijing,China,39.968184,116.411813
2,15,Shunfeng,Beijing,Beijing,China,39.965756,116.420016
2,16,Shunfeng,Beijing,Beijing,China,39.929968,116.451689
2,17,Shunfeng,Beijing,Beijing,China,39.757215,116.554295
2,18,Shunfeng,Beijing,Beijing,China,39.865352,116.40276
2,19,Shunfeng,Beijing,Beijing,China,39.957608,116.3237
2,20,Shunfeng,Beijing,Beijing,China,39.876467,116.245654
2,21,Shunfeng,Beijing,Beijing,China,39.727076,116.144145
2,22,Shunfeng,Beijing,Beijing,China,39.655923,116.628702
2,23,Shunfeng,Beijing,Beijing,China,39.637969,116.426525
2,24,Shunfeng,Beijing,Beijing,China,39.700543,116.15443
2,25,Shunfeng,Beijing,Beijing,China,39.662306,115.939923
2,26,Shunfeng,Beijing,Beijing,China,40.146486,117.030758
2,27,Shunfeng,Beijing,Beijing,China,40.142028,116.833677
2,28,Shunfeng,Beijing,Beijing,China,40.120575,116.615389
2,29,Shunfeng,Beijing,Beijing,China,40.135093,116.409919
2,30,Shunfeng,Beijing,Beijing,China,40.090183,116.448789
2,31,Shunfeng,Beijing,Beijing,China,40.442973,115.947831
2,32,Shunfeng,Beijing,Beijing,China,39.918673,116.561096
2,33,Shunfeng,Beijing,Beijing,China,40.021822,116.53579
2,34,Shunfeng,Beijing,Beijing,China,39.995492,116.489232
2,35,Shunfeng,Beijing,Beijing,China,39.917831,116.499269
2,36,Shunfeng,Beijing,Beijing,China,39.761279,116.672346
2,37,Shunfeng,Beijing,Beijing,China,39.771116,116.59321
2,38,Shunfeng,Beijing,Beijing,China,39.883403,116.480507
2,39,Shunfeng,Beijing,Beijing,China,39.896491,116.397074
2,40,Shunfeng,Beijing,Beijing,China,39.848446,116.386011
2,41,Shunfeng,Beijing,Beijing,China,39.93899,116.444651
2,42,Shunfeng,Beijing,Beijing,China,39.895564,116.517387
2,43,Shunfeng,Beijing,Beijing,China,39.870451,116.415432
2,44,Shunfeng,Beijing,Beijing,China,39.85883,116.405736
2,45,Shunfeng,Beijing,Beijing,China,39.848193,116.424868
2,46,Shunfeng,Beijing,Beijing,China,39.855086,116.401837
2,47,Shunfeng,Beijing,Beijing,China,39.802839,116.53149
2,48,Shunfeng,Beijing,Beijing,China,39.992702,116.308697
2,49,Shunfeng,Beijing,Beijing,China,39.779562,116.328503
2,50,Shunfeng,Beijing,Beijing,China,39.706303,116.302986
2,51,Shunfeng,Beijing,Beijing,China,39.848934,116.403133
2,52,Shunfeng,Beijing,Beijing,China,39.84579,116.420965
2,53,Shunfeng,Beijing,Beijing,China,39.695329,116.071784
2,54,Shunfeng,Beijing,Beijing,China,39.926265,116.461512
2,55,Shunfeng,Beijing,Beijing,China,39.983636,116.316675
2,56,Shunfeng,Beijing,Beijing,China,39.890404,116.307027
2,57,Shunfeng,Beijing,Beijing,China,39.826594,116.28909
2,58,Shunfeng,Beijing,Beijing,China,39.911415,116.486071
2,59,Shunfeng,Beijing,Beijing,China,40.127675,116.653284
2,60,Shunfeng,Beijing,Beijing,China,39.971101,116.404013
2,61,Shunfeng,Beijing,Beijing,China,40.303341,116.629227
2,62,Shunfeng,Beijing,Beijing,China,39.926512,116.573216
2,63,Shunfeng,Beijing,Beijing,China,39.929413,116.428515
2,64,Shunfeng,Beijing,Beijing,China,39.983579,116.316387
2,65,Shunfeng,Beijing,Beijing,China,39.935508,116.606227
2,66,Shunfeng,Beijing,Beijing,China,40.055249,116.273908
2,67,Shunfeng,Beijing,Beijing,China,39.97185,116.332493
2,68,Shunfeng,Beijing,Beijing,China,39.887876,116.324509
2,69,Shunfeng,Beijing,Beijing,China,39.968571,116.475537
2,70,Shunfeng,Beijing,Beijing,China,39.916658,116.418635
2,71,Shunfeng,Beijing,Beijing,China,40.089561,116.554342
2,72,Shunfeng,Beijing,Beijing,China,40.163535,116.558841
2,73,Shunfeng,Beijing,Beijing,China,39.987721,116.501444
2,74,Shunfeng,Beijing,Beijing,China,39.924555,116.491049
2,75,Shunfeng,Beijing,Beijing,China,39.94431,116.446216
2,76,Shunfeng,Beijing,Beijing,China,39.799803,116.324427
2,77,Shunfeng,Beijing,Beijing,China,39.924886,116.44959
2,78,Shunfeng,Beijing,Beijing,China,39.938672,116.415746
2,79,Shunfeng,Beijing,Beijing,China,39.882336,116.661042
2,80,Shunfeng,Beijing,Beijing,China,39.835084,116.601214
