Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,Shentong,Beijing,Beijing,China,39.911768,116.467234
2,2,Shentong,Beijing,Beijing,China,39.916285,116.482901
2,3,Shentong,Beijing,Beijing,China,39.875698,116.664931
2,4,Shentong,Beijing,Beijing,China,39.86119,116.375123
2,5,Shentong,Beijing,Beijing,China,39.850735,116.371199
2,6,Shentong,Beijing,Beijing,China,39.93081,116.305315
2,7,Shentong,Beijing,Beijing,China,39.625412,116.495699
2,8,Shentong,Beijing,Beijing,China,39.577064,115.72374
2,9,Shentong,Beijing,Beijing,China,40.207726,116.735458
2,10,Shentong,Beijing,Beijing,China,40.168978,117.117396
2,11,Shentong,Beijing,Beijing,China,40.174697,116.198956
2,12,Shentong,Beijing,Beijing,China,39.995592,116.632394
2,13,Shentong,Beijing,Beijing,China,39.854755,116.319727
2,14,Shentong,Beijing,Beijing,China,39.939209,116.39238
2,15,Shentong,Beijing,Beijing,China,39.843639,116.492998
2,16,Shentong,Beijing,Beijing,China,40.399759,116.869969
2,17,Shentong,Beijing,Beijing,China,39.924093,116.189982
2,18,Shentong,Beijing,Beijing,China,39.838179,116.503989
2,19,Shentong,Beijing,Beijing,China,39.90981,116.342875
2,20,Shentong,Beijing,Beijing,China,39.862829,116.236689
2,21,Shentong,Beijing,Beijing,China,40.14282,117.109064
2,22,Shentong,Beijing,Beijing,China,39.8566,116.1569
2,23,Shentong,Beijing,Beijing,China,39.710834,115.989513
2,24,Shentong,Beijing,Beijing,China,39.896497,116.432393
2,25,Shentong,Beijing,Beijing,China,39.953702,116.247955
2,26,Shentong,Beijing,Beijing,China,39.792902,116.330833
2,27,Shentong,Beijing,Beijing,China,39.875654,116.628454
2,28,Shentong,Beijing,Beijing,China,39.978946,116.316914
2,29,Shentong,Beijing,Beijing,China,39.67044,116.072192
2,30,Shentong,Beijing,Beijing,China,39.903911,116.431783
2,31,Shentong,Beijing,Beijing,China,40.028357,116.290655
2,32,Shentong,Beijing,Beijing,China,40.05567,116.244748
2,33,Shentong,Beijing,Beijing,China,39.680324,116.105403
2,34,Shentong,Beijing,Beijing,China,39.729388,116.57517
2,35,Shentong,Beijing,Beijing,China,39.934847,116.486161
2,36,Shentong,Beijing,Beijing,China,39.82593,116.271584
2,37,Shentong,Beijing,Beijing,China,40.159312,116.832914
2,38,Shentong,Beijing,Beijing,China,39.681277,116.827347
2,39,Shentong,Beijing,Beijing,China,40.248971,116.144138
2,40,Shentong,Beijing,Beijing,China,39.780973,116.806855
