Type,Number,Company,City,Province,Country,Latitude,Longitude
1,1,JD,Beijing,Beijing,China,40.11741,116.834582
1,2,JD,Beijing,Beijing,China,39.647783,116.681405
1,3,JD,Beijing,Beijing,China,39.72633,116.553861
1,4,JD,Beijing,Beijing,China,40.237758,116.563952
1,5,JD,Beijing,Beijing,China,39.849994,116.731046
1,6,JD,Beijing,Beijing,China,39.815208,116.555266
1,7,JD,Beijing,Beijing,China,40.204453,116.75132
1,8,JD,Beijing,Beijing,China,39.684097,116.789969
1,9,JD,Beijing,Beijing,China,40.132311,116.662887
1,10,JD,Beijing,Beijing,China,39.681308,116.363498
1,11,JD,Beijing,Beijing,China,40.083252,116.924592
1,12,JD,Beijing,Beijing,China,39.773735,116.577185
1,13,JD,Beijing,Beijing,China,39.754855,116.507384
1,14,JD,Beijing,Beijing,China,39.76511,116.594168
1,15,JD,Beijing,Beijing,China,39.843284,116.526807
