Type,Number,Company,City,Province,Country,Latitude,Longitude
2,1,Yuantong,Beijing,Beijing,China,39.870964,116.595887
2,2,Yuantong,Beijing,Beijing,China,39.568167,116.469014
2,3,Yuantong,Beijing,Beijing,China,40.214376,116.572549
2,4,Yuantong,Beijing,Beijing,China,40.094393,116.381462
2,5,Yuantong,Beijing,Beijing,China,40.109715,116.394743
2,6,Yuantong,Beijing,Beijing,China,40.081049,116.353991
2,7,Yuantong,Beijing,Beijing,China,40.018751,116.333569
2,8,Yuantong,Beijing,Beijing,China,40.474736,115.992864
2,9,Yuantong,Beijing,Beijing,China,39.955879,116.370894
2,10,Yuantong,Beijing,Beijing,China,39.803549,116.667103
2,11,Yuantong,Beijing,Beijing,China,40.347746,116.663592
2,12,Yuantong,Beijing,Beijing,China,40.044435,116.518482
2,13,Yuantong,Beijing,Beijing,China,39.782377,116.787196
2,14,Yuantong,Beijing,Beijing,China,39.725362,115.983225
2,15,Yuantong,Beijing,Beijing,China,40.208722,116.73439
2,16,Yuantong,Beijing,Beijing,China,40.140598,116.614593
2,17,Yuantong,Beijing,Beijing,China,39.927791,116.41339
2,18,Yuantong,Beijing,Beijing,China,39.975669,116.393974
2,19,Yuantong,Beijing,Beijing,China,39.683318,116.071268
2,20,Yuantong,Beijing,Beijing,China,40.176369,116.507889
2,21,Yuantong,Beijing,Beijing,China,40.068208,116.426299
2,22,Yuantong,Beijing,Beijing,China,39.908495,116.452316
2,23,Yuantong,Beijing,Beijing,China,40.154377,116.829101
2,24,Yuantong,Beijing,Beijing,China,40.163219,116.838743
2,25,Yuantong,Beijing,Beijing,China,40.459553,116.016031
2,26,Yuantong,Beijing,Beijing,China,40.31296,116.63976
2,27,Yuantong,Beijing,Beijing,China,40.32881,116.64754
2,28,Yuantong,Beijing,Beijing,China,40.291618,116.62298
2,29,Yuantong,Beijing,Beijing,China,40.369567,116.389533
2,30,Yuantong,Beijing,Beijing,China,40.137761,116.648229
2,31,Yuantong,Beijing,Beijing,China,40.177544,116.47072
2,32,Yuantong,Beijing,Beijing,China,40.17998,116.390193
2,33,Yuantong,Beijing,Beijing,China,40.121847,116.453164
2,34,Yuantong,Beijing,Beijing,China,40.157079,116.290275
2,35,Yuantong,Beijing,Beijing,China,39.996982,116.639797
2,36,Yuantong,Beijing,Beijing,China,39.995115,116.578082
2,37,Yuantong,Beijing,Beijing,China,39.958953,116.482861
2,38,Yuantong,Beijing,Beijing,China,39.981054,116.475271
2,39,Yuantong,Beijing,Beijing,China,39.907302,116.531559
2,40,Yuantong,Beijing,Beijing,China,39.959229,116.444157
2,41,Yuantong,Beijing,Beijing,China,39.922922,116.444512
2,42,Yuantong,Beijing,Beijing,China,39.917601,116.381018
2,43,Yuantong,Beijing,Beijing,China,39.884005,116.683564
2,44,Yuantong,Beijing,Beijing,China,39.766547,116.697243
2,45,Yuantong,Beijing,Beijing,China,39.746495,116.599319
2,46,Yuantong,Beijing,Beijing,China,39.862277,116.519548
2,47,Yuantong,Beijing,Beijing,China,39.820947,116.478452
2,48,Yuantong,Beijing,Beijing,China,40.042794,116.314383
2,49,Yuantong,Beijing,Beijing,China,39.959792,116.329205
2,50,Yuantong,Beijing,Beijing,China,39.977428,116.351696
2,51,Yuantong,Beijing,Beijing,China,39.885247,116.358376
2,52,Yuantong,Beijing,Beijing,China,39.854376,116.313362
2,53,Yuantong,Beijing,Beijing,China,39.866598,116.271514
2,54,Yuantong,Beijing,Beijing,China,39.741263,116.138409
2,55,Yuantong,Beijing,Beijing,China,40.154881,116.950801
2,56,Yuantong,Beijing,Beijing,China,40.297492,116.62687
2,57,Yuantong,Beijing,Beijing,China,40.090169,116.375751
2,58,Yuantong,Beijing,Beijing,China,40.108763,116.295601
2,59,Yuantong,Beijing,Beijing,China,40.115145,116.28514
2,60,Yuantong,Beijing,Beijing,China,40.104783,116.219964
2,61,Yuantong,Beijing,Beijing,China,39.912136,116.59259
2,62,Yuantong,Beijing,Beijing,China,39.996007,116.508833
2,63,Yuantong,Beijing,Beijing,China,39.970071,116.505762
2,64,Yuantong,Beijing,Beijing,China,39.922171,116.499559
2,65,Yuantong,Beijing,Beijing,China,39.917729,116.488208
2,66,Yuantong,Beijing,Beijing,China,39.958914,116.37171
2,67,Yuantong,Beijing,Beijing,China,39.963446,116.368113
2,68,Yuantong,Beijing,Beijing,China,39.924698,116.421814
2,69,Yuantong,Beijing,Beijing,China,39.901683,116.510053
2,70,Yuantong,Beijing,Beijing,China,39.843544,116.480166
2,71,Yuantong,Beijing,Beijing,China,39.949227,116.317983
2,72,Yuantong,Beijing,Beijing,China,39.899125,116.349672
2,73,Yuantong,Beijing,Beijing,China,39.861229,116.265479
2,74,Yuantong,Beijing,Beijing,China,39.721303,116.018205
2,75,Yuantong,Beijing,Beijing,China,39.686363,115.948384
2,76,Yuantong,Beijing,Beijing,China,40.285087,117.081244
2,77,Yuantong,Beijing,Beijing,China,40.142713,117.096629
2,78,Yuantong,Beijing,Beijing,China,40.139669,116.722016
2,79,Yuantong,Beijing,Beijing,China,40.370729,116.671991
2,80,Yuantong,Beijing,Beijing,China,40.085839,116.671473
2,81,Yuantong,Beijing,Beijing,China,40.15539,116.624318
2,82,Yuantong,Beijing,Beijing,China,40.15193,116.625127
2,83,Yuantong,Beijing,Beijing,China,40.104576,116.501915
2,84,Yuantong,Beijing,Beijing,China,40.166921,116.264835
2,85,Yuantong,Beijing,Beijing,China,40.452535,115.983754
2,86,Yuantong,Beijing,Beijing,China,40.048479,116.674527
2,87,Yuantong,Beijing,Beijing,China,40.014901,116.576223
2,88,Yuantong,Beijing,Beijing,China,39.995077,116.47679
2,89,Yuantong,Beijing,Beijing,China,39.972836,116.509865
2,90,Yuantong,Beijing,Beijing,China,39.952518,116.475982
2,91,Yuantong,Beijing,Beijing,China,39.923042,116.459188
2,92,Yuantong,Beijing,Beijing,China,39.922866,116.465141
2,93,Yuantong,Beijing,Beijing,China,39.986356,116.442166
2,94,Yuantong,Beijing,Beijing,China,39.97118,116.409692
2,95,Yuantong,Beijing,Beijing,China,39.773278,116.546094
2,96,Yuantong,Beijing,Beijing,China,39.898413,116.464998
2,97,Yuantong,Beijing,Beijing,China,39.862232,116.433629
2,98,Yuantong,Beijing,Beijing,China,39.859992,116.402701
2,99,Yuantong,Beijing,Beijing,China,39.887427,116.397977
2,100,Yuantong,Beijing,Beijing,China,40.061386,116.309265
2,101,Yuantong,Beijing,Beijing,China,40.025156,116.353364
2,102,Yuantong,Beijing,Beijing,China,39.965487,116.362894
2,103,Yuantong,Beijing,Beijing,China,39.958569,116.366819
2,104,Yuantong,Beijing,Beijing,China,39.966539,116.276521
2,105,Yuantong,Beijing,Beijing,China,39.912541,116.261599
2,106,Yuantong,Beijing,Beijing,China,39.908832,116.23513
2,107,Yuantong,Beijing,Beijing,China,39.858898,116.35542
2,108,Yuantong,Beijing,Beijing,China,39.857928,116.315575
2,109,Yuantong,Beijing,Beijing,China,39.729849,116.070186
